x,y,z
1.3074918985366821,-1.6923069953918457,-0.5730253458023071
1.3945437669754028,-1.8062825202941895,-0.5268353819847107
1.4741836786270142,-1.9101251363754272,-0.46900853514671326
1.5863618850708008,-2.0569608211517334,-0.4114226996898651
1.7085583209991455,-2.2170066833496094,-0.343671590089798
1.303928256034851,-1.6999266147613525,-0.5740606784820557
1.3909178972244263,-1.8139902353286743,-0.5277352333068848
1.483030080795288,-1.935518503189087,-0.47396957874298096
1.5915437936782837,-2.077892303466797,-0.41455137729644775
1.7120555639266968,-2.236847400665283,-0.3458652198314667
1.3099907636642456,-1.7196085453033447,-0.5792370438575745
1.3963812589645386,-1.8343400955200195,-0.532234251499176
1.483736515045166,-1.949799656867981,-0.4762592613697052
1.586672306060791,-2.0865797996520996,-0.4151771068572998
1.7210514545440674,-2.2649381160736084,-0.3492775857448578
1.3098067045211792,-1.7318745851516724,-0.5818252563476562
1.3829199075698853,-1.8298749923706055,-0.5295348167419434
1.4745546579360962,-1.9518340826034546,-0.4754960536956787
1.5924712419509888,-2.109447956085205,-0.41861867904663086
1.71552574634552,-2.2741012573242188,-0.34976503252983093
1.3130327463150024,-1.7487953901290894,-0.5859663486480713
1.3917276859283447,-1.8549554347991943,-0.5353835225105286
1.4795122146606445,-1.9726752042770386,-0.4793122112751007
1.585098147392273,-2.1149938106536865,-0.41861867904663086
1.7230467796325684,-2.3007314205169678,-0.3529336452484131
1.3123856782913208,-1.7613418102264404,-0.5885545611381531
1.3899005651474,-1.8660534620285034,-0.5371831059455872
1.478132963180542,-1.985959529876709,-0.4812203049659729
1.5926610231399536,-2.141394853591919,-0.42268598079681396
1.720927119255066,-2.314697265625,-0.3541523516178131
1.3108246326446533,-1.7721242904663086,-0.5906250476837158
1.3923183679580688,-1.8836721181869507,-0.5407823324203491
1.47819185256958,-2.0005810260772705,-0.48351001739501953
1.5886965990066528,-2.1517088413238525,-0.42362460494041443
1.7183244228363037,-2.3289761543273926,-0.35537102818489075
1.3034874200820923,-1.7751322984695435,-0.5901075005531311
1.3926517963409424,-1.8979477882385254,-0.5434817671775818
1.47932767868042,-2.0168097019195557,-0.4861813485622406
1.5940214395523071,-2.174766778945923,-0.4270661175251007
